location,number_of_cows,farm_size,date,product_name,brand,quantity,price_per_unit,total_value,shelf_life,quantity_sold,price_per_unit_sold,total_revenue,customer_location,sales_channel,quantity_in_stock,id
Uttar Pradesh,44,Large,2021-12-01,Milk,Amul,687,42.61,29293.5228,22,558,39.24,21895.92,Kerala,Wholesale,129,1
Tamil Nadu,24,Medium,2022-02-28,Yogurt,Dodla Dairy,503,36.5,18377.02,30,256,33.81,8655.36,Madhya Pradesh,Online,247,2
Telangana,89,Small,2019-06-09,Cheese,Britannia Industries,823,26.52,21835.5072,72,601,28.92,17380.92,Rajasthan,Online,222,3
Maharashtra,21,Medium,2020-12-14,Buttermilk,Mother Dairy,147,83.85,12390.5145,11,145,83.07,12045.15,Jharkhand,Retail,2,4
Telangana,51,Medium,2019-01-07,Curd,Raj,593,85.54,50803.9168,5,74,84.75,6271.5,Gujarat,Retail,519,5
Karnataka,74,Small,2022-08-05,Cheese,Dynamix Dairies,757,36.83,27885.4662,83,410,32.66,13390.6,Karnataka,Online,347,6
Bihar,77,Medium,2019-02-14,Paneer,Mother Dairy,203,29.08,5913.7088,14,15,29.09,436.35,Haryana,Online,188,7
Telangana,36,Large,2022-03-04,Buttermilk,Mother Dairy,385,42.08,16227.731199999998,9,108,46.15,4984.2,Tamil Nadu,Retail,277,8
Madhya Pradesh,82,Small,2021-12-22,Yogurt,Dodla Dairy,52,67.23,3537.6426,24,22,68.09,1497.98,Kerala,Wholesale,30,9
Chandigarh,99,Small,2020-10-14,Lassi,Sudha,653,84.6,55247.184,14,345,88.05,30377.25,Karnataka,Online,308,10
Delhi,81,Large,2020-02-18,Cheese,Passion Cheese,12,58.28,722.0892,69,1,58.09,58.09,West Bengal,Retail,11,11
Telangana,39,Large,2019-12-26,Ice Cream,Mother Dairy,612,94.43,57806.2688,25,80,94.32,7545.6,Madhya Pradesh,Online,532,12
Gujarat,70,Medium,2022-04-10,Ice Cream,Dodla Dairy,797,88.66,70723.1954,28,645,93.51,60313.95,Karnataka,Retail,152,13
Madhya Pradesh,95,Large,2022-12-17,Ghee,Mother Dairy,663,48.83,32390.8922,138,438,52.79,23122.02,Tamil Nadu,Retail,225,14
Kerala,88,Medium,2020-06-24,Curd,Amul,385,26.18,10090.0338,6,270,30.27,8172.9,Madhya Pradesh,Online,115,15
Madhya Pradesh,25,Large,2020-01-19,Buttermilk,Amul,367,41.05,15071.096999999998,10,309,40.75,12591.75,West Bengal,Online,58,16
Tamil Nadu,52,Medium,2021-06-15,Milk,Amul,896,93.72,84056.5308,28,486,96.08,46694.88,Telangana,Wholesale,410,17
Jharkhand,24,Large,2020-05-19,Paneer,Raj,88,87.53,7763.035699999999,10,26,87.3,2269.8,Chandigarh,Wholesale,62,18
Bihar,85,Small,2022-08-08,Cheese,Britannia Industries,220,13.94,3067.2182,43,62,14.13,876.06,Telangana,Online,158,19
Karnataka,79,Small,2022-03-03,Cheese,Britannia Industries,879,90.1,79207.811,36,610,91.05,55540.5,Rajasthan,Online,269,20
Madhya Pradesh,27,Small,2022-07-26,Butter,Warana,430,89.64,38586.4344,37,47,92.96,4369.12,Maharashtra,Wholesale,383,21
Jharkhand,90,Small,2022-09-25,Butter,Warana,440,77.46,34114.9332,36,246,77.53,19072.38,Chandigarh,Retail,194,22
Chandigarh,45,Medium,2020-06-24,Curd,Mother Dairy,565,86.39,48830.2197,6,305,84.57,25793.85,Maharashtra,Retail,260,23
Kerala,87,Small,2021-01-13,Lassi,Sudha,101,18.99,1928.6244,14,26,21.19,550.94,Tamil Nadu,Retail,75,24
Delhi,41,Large,2020-03-27,Butter,Amul,985,92.69,91387.7055,28,56,96.86,5424.16,Rajasthan,Retail,929,25
